status,variant,preset,M,N,throughput_tps,throughput_e2e_tps,points_per_s,loop_ms,total_ms,med_loss_fp64,K_max,n_dropped,frac_converged,frac_failed,skip_reason,est_footprint_gb
ok,fusedfd,early-gen,4000,1000,18634.1,6512.3,18634122,190.242,544.352,0.181176,13,455,0.804,0.020,,
ok,fusedfd,early-gen,4000,10000,1921.3,1384.0,19213454,1866.921,2591.760,2.00425,12,413,0.811,0.024,,
ok,fusedfd,early-gen,16000,100,141959.5,17193.8,14195953,100.219,827.452,0.0195106,13,1773,0.801,0.022,,
ok,fusedfd,early-gen,16000,1000,36557.7,18348.5,36557697,390.862,778.754,0.181216,13,1711,0.808,0.021,,
ok,fusedfd,early-gen,16000,10000,4123.7,3507.2,41236969,3463.397,4072.225,2.03928,12,1718,0.803,0.027,,
ok,fusedfd,early-gen,64000,100,266569.1,99300.2,26656909,213.584,573.362,0.0201366,13,7065,0.802,0.022,,
ok,fusedfd,early-gen,64000,1000,53154.5,36986.2,53154458,1070.672,1538.709,0.193631,13,7089,0.800,0.021,,
ok,fusedfd,early-gen,256000,100,305503.6,198076.6,30550360,745.441,1149.732,0.0202114,13,28265,0.803,0.022,,
ok,fusedfd,early-gen,256000,1000,56849.1,47609.5,56849059,4013.206,4792.052,0.196701,14,27853,0.804,0.021,,
ok,fusedfd,inner-const-heavy,1000,100,22209.6,2465.4,2220956,44.575,401.553,0.669247,13,10,0.735,0.066,,
ok,fusedfd,inner-const-heavy,1000,1000,5259.3,1867.9,5259296,187.668,528.397,9.83977,13,13,0.727,0.081,,
ok,fusedfd,inner-const-heavy,1000,10000,535.4,447.4,5353645,1843.604,2206.273,35.7073,12,13,0.706,0.098,,
ok,fusedfd,inner-const-heavy,4000,100,62052.4,9358.4,6205242,63.704,422.402,0.542136,13,47,0.726,0.086,,
ok,fusedfd,inner-const-heavy,4000,1000,14372.6,6332.0,14372551,275.803,626.025,5.02004,13,36,0.748,0.078,,
ok,fusedfd,inner-const-heavy,4000,10000,1530.5,1303.7,15304579,2589.421,3039.733,41.5564,12,37,0.732,0.086,,
ok,fusedfd,inner-const-heavy,16000,100,114268.9,33165.8,11426890,138.690,477.842,0.541647,13,152,0.727,0.083,,
ok,fusedfd,inner-const-heavy,16000,1000,18288.4,12609.9,18288406,866.615,1256.874,5.05446,13,151,0.747,0.078,,
ok,fusedfd,inner-const-heavy,16000,10000,1954.2,1818.7,19542283,8105.501,8709.467,56.5146,13,160,0.726,0.101,,
ok,fusedfd,inner-const-heavy,64000,100,138624.5,77376.3,13862447,457.401,819.463,0.482254,13,593,0.725,0.084,,
ok,fusedfd,inner-const-heavy,64000,1000,20461.8,17749.4,20461789,3096.112,3569.248,5.48077,13,648,0.744,0.077,,
ok,fusedfd,inner-const-heavy,256000,100,144265.2,113761.6,14426518,1757.791,2229.117,0.452477,13,2412,0.722,0.083,,
ok,fusedfd,inner-const-heavy,256000,1000,21824.9,20266.8,21824940,11611.074,12503.720,5.40267,13,2589,0.743,0.077,,
ok,fusedfd,late-gen-bloated,1000,100,26517.1,1693.1,2651706,26.398,413.441,0.318286,7,300,0.624,0.058,,
ok,fusedfd,late-gen-bloated,1000,1000,7960.5,1636.5,7960451,87.809,427.132,4.95091,6,301,0.636,0.046,,
ok,fusedfd,late-gen-bloated,1000,10000,741.6,537.1,7415958,939.865,1297.724,43.0195,7,303,0.633,0.040,,
ok,fusedfd,late-gen-bloated,4000,100,79765.5,6954.6,7976546,34.451,395.133,0.320421,7,1252,0.614,0.057,,
ok,fusedfd,late-gen-bloated,4000,1000,22348.7,5780.3,22348693,123.542,477.660,4.32165,8,1239,0.620,0.051,,
ok,fusedfd,late-gen-bloated,4000,10000,2394.8,1751.8,23948330,1143.712,1563.498,43.5591,7,1261,0.616,0.045,,
ok,fusedfd,late-gen-bloated,16000,100,139919.0,25087.4,13991899,79.253,442.015,0.321513,7,4911,0.626,0.054,,
ok,fusedfd,late-gen-bloated,16000,1000,37397.5,15579.6,37397481,296.651,712.087,3.92033,8,4906,0.626,0.052,,
ok,fusedfd,late-gen-bloated,16000,10000,4088.5,3278.7,40885413,2692.158,3357.105,41.8674,7,4993,0.607,0.057,,
ok,fusedfd,late-gen-bloated,64000,100,208970.5,75957.3,20897054,212.580,584.841,0.325553,7,19577,0.628,0.053,,
ok,fusedfd,late-gen-bloated,64000,1000,49345.9,31494.7,49345882,900.541,1410.965,3.74739,8,19562,0.625,0.052,,
ok,fusedfd,late-gen-bloated,64000,10000,5266.7,4488.8,52667001,8391.782,9846.086,40.2693,8,19803,0.613,0.052,,
ok,fusedfd,late-gen-bloated,256000,100,228382.1,143186.6,22838207,776.339,1238.258,0.325688,8,78698,0.626,0.053,,
ok,fusedfd,late-gen-bloated,256000,1000,49949.4,37971.3,49949379,3551.275,4671.523,3.77643,8,78616,0.621,0.053,,
skipped,ad,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,ad,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,ad,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,ad,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,ad,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
skipped,fusedfd,early-gen,64000,10000,,,,,,,13,,,,memory_ceiling,40.59140761196613
skipped,fusedfd,early-gen,256000,10000,,,,,,,12,,,,memory_ceiling,152.8021622300148
skipped,fusedfd,inner-const-heavy,64000,10000,,,,,,,13,,,,memory_ceiling,40.602515891194344
skipped,fusedfd,inner-const-heavy,256000,10000,,,,,,,13,,,,memory_ceiling,162.40995180606842
skipped,fusedfd,late-gen-bloated,256000,10000,,,,,,,7,,,,memory_ceiling,105.05386173725128
