corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,feynman/I.13.12,32,1,1.784,6.582,10
evogp,feynman/I.13.12,32,2,2.263,8.15,10
evogp,feynman/I.13.12,32,4,2.873,11.091,12
evogp,feynman/I.13.12,32,8,3.696,17.072,13
evogp,feynman/I.13.12,32,16,4.486,23.321,11
evogp,feynman/I.13.12,32,32,4.172,26.111,8
evogp,feynman/I.13.12,32,64,3.177,27.195,7
evogp,feynman/I.13.12,32,100,3.055,26.877,7
operon,feynman/II.3.24,32,0,6.505,23.193,15
operon,feynman/II.3.24,32,1,5.946,20.542,15
operon,feynman/II.3.24,32,2,6.039,20.269,16
operon,feynman/II.3.24,32,4,7.518,25.151,16
operon,feynman/II.3.24,32,8,9.658,33.283,16
operon,feynman/II.3.24,32,16,9.913,34.644,16
operon,feynman/II.3.24,32,32,9.927,35.676,16
operon,feynman/II.3.24,32,64,10.226,36.605,16
operon,feynman/II.3.24,32,100,10.405,36.863,16
evogp,feynman/II.3.24,32,0,1.715,6.955,7
evogp,feynman/II.3.24,32,1,1.718,6.468,9
evogp,feynman/II.3.24,32,2,1.656,5.918,10
evogp,feynman/II.3.24,32,4,1.887,7.655,9
evogp,feynman/II.3.24,32,8,3.284,16.605,12
evogp,feynman/II.3.24,32,16,3.608,23.255,10
evogp,feynman/II.3.24,32,32,4.13,23.791,11
evogp,feynman/II.3.24,32,64,3.677,23.807,10
evogp,feynman/II.3.24,32,100,3.643,23.354,11
operon,nguyen/1,32,0,6.505,23.127,15
operon,nguyen/1,32,1,5.993,20.776,15
operon,nguyen/1,32,2,6.217,21.283,15
operon,nguyen/1,32,4,7.66,26.192,15
operon,nguyen/1,32,8,8.42,27.488,16
operon,nguyen/1,32,16,9.662,32.515,16
operon,nguyen/1,32,32,8.485,33.883,14
operon,nguyen/1,32,64,8.628,37.284,14
operon,nguyen/1,32,100,8.819,38.276,14
evogp,nguyen/1,32,0,1.715,6.955,7
evogp,nguyen/1,32,1,1.145,5.512,8
evogp,nguyen/1,32,2,0.783,4.505,7
evogp,nguyen/1,32,4,0.993,7.049,9
evogp,nguyen/1,32,8,1.741,14.144,8
evogp,nguyen/1,32,16,2.761,21.418,9
evogp,nguyen/1,32,32,3.388,21.58,10
evogp,nguyen/1,32,64,3.517,21.696,10
evogp,nguyen/1,32,100,3.805,22.971,9
operon,nguyen/2,32,0,6.505,23.127,15
operon,nguyen/2,32,1,6.1,21.305,15
operon,nguyen/2,32,2,6.614,22.88,15
operon,nguyen/2,32,4,7.962,27.509,15
operon,nguyen/2,32,8,9.101,30.88,15
operon,nguyen/2,32,16,8.991,31.352,15
operon,nguyen/2,32,32,9.123,32.468,14
operon,nguyen/2,32,64,9.341,35.459,15
operon,nguyen/2,32,100,9.037,37.196,13
evogp,nguyen/2,32,0,1.715,6.955,7
evogp,nguyen/2,32,1,1.067,5.183,10
evogp,nguyen/2,32,2,0.906,5.186,9
evogp,nguyen/2,32,4,1.478,9.574,9
evogp,nguyen/2,32,8,1.696,14.527,8
evogp,nguyen/2,32,16,1.843,21.359,7
evogp,nguyen/2,32,32,2.317,23.379,9
evogp,nguyen/2,32,64,4.694,23.241,10
evogp,nguyen/2,32,100,2.866,25.121,7
operon,nguyen/3,32,0,6.505,23.127,15
operon,nguyen/3,32,1,6.09,21.196,15
operon,nguyen/3,32,2,6.456,22.3,15
operon,nguyen/3,32,4,7.966,27.7,16
operon,nguyen/3,32,8,8.698,29.207,16
operon,nguyen/3,32,16,9.097,31.842,15
operon,nguyen/3,32,32,9.139,34.324,14
operon,nguyen/3,32,64,8.393,36.032,13
operon,nguyen/3,32,100,8.873,38.682,13
evogp,nguyen/3,32,0,1.715,6.955,7
evogp,nguyen/3,32,1,1.11,5.394,9
evogp,nguyen/3,32,2,0.961,5.364,9
evogp,nguyen/3,32,4,1.36,9.121,9
evogp,nguyen/3,32,8,1.884,16.0,10
evogp,nguyen/3,32,16,2.496,23.665,9
evogp,nguyen/3,32,32,1.808,24.673,6
evogp,nguyen/3,32,64,1.655,24.388,6
evogp,nguyen/3,32,100,1.977,25.198,6
operon,nguyen/4,32,0,6.505,23.127,15
operon,nguyen/4,32,1,6.094,21.325,15
operon,nguyen/4,32,2,6.639,23.084,15
