corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,nguyen/6,64,1,1.148,5.437,7
evogp,nguyen/6,64,2,0.626,3.85,6
evogp,nguyen/6,64,4,0.884,6.641,6
evogp,nguyen/6,64,8,1.557,12.955,10
evogp,nguyen/6,64,16,4.216,34.882,14
evogp,nguyen/6,64,32,5.853,46.319,14
evogp,nguyen/6,64,64,5.554,51.241,13
evogp,nguyen/6,64,100,7.26,56.9,13
operon,nguyen/7,64,0,12.423,45.392,28
operon,nguyen/7,64,1,9.536,34.277,28
operon,nguyen/7,64,2,7.242,25.128,28
operon,nguyen/7,64,4,6.159,20.642,27
operon,nguyen/7,64,8,10.48,37.573,28
operon,nguyen/7,64,16,17.855,65.085,28
operon,nguyen/7,64,32,18.793,70.143,28
operon,nguyen/7,64,64,17.881,68.929,26
operon,nguyen/7,64,100,17.406,70.746,25
evogp,nguyen/7,64,0,1.715,6.955,7
evogp,nguyen/7,64,1,1.141,4.893,9
evogp,nguyen/7,64,2,0.632,3.374,8
evogp,nguyen/7,64,4,0.878,4.646,9
evogp,nguyen/7,64,8,1.988,11.142,14
evogp,nguyen/7,64,16,6.563,35.912,20
evogp,nguyen/7,64,32,8.77,51.354,15
evogp,nguyen/7,64,64,6.056,53.825,12
evogp,nguyen/7,64,100,6.213,54.844,10
operon,nguyen/8,64,0,12.423,45.392,28
operon,nguyen/8,64,1,9.812,35.31,28
operon,nguyen/8,64,2,7.553,25.995,28
operon,nguyen/8,64,4,7.888,26.268,28
operon,nguyen/8,64,8,13.445,43.999,30
operon,nguyen/8,64,16,21.459,70.861,31
operon,nguyen/8,64,32,21.638,74.146,31
operon,nguyen/8,64,64,22.806,81.495,31
operon,nguyen/8,64,100,23.003,82.489,30
evogp,nguyen/8,64,0,1.715,6.955,7
evogp,nguyen/8,64,1,1.099,4.271,9
evogp,nguyen/8,64,2,1.448,5.199,11
evogp,nguyen/8,64,4,1.815,5.978,15
evogp,nguyen/8,64,8,4.585,15.035,23
evogp,nguyen/8,64,16,9.758,39.512,23
evogp,nguyen/8,64,32,13.069,51.016,21
evogp,nguyen/8,64,64,12.803,54.285,18
evogp,nguyen/8,64,100,9.91,55.084,15
operon,nguyen/9,64,0,12.423,45.431,28
operon,nguyen/9,64,1,9.774,35.411,28
operon,nguyen/9,64,2,10.039,36.514,27
operon,nguyen/9,64,4,12.669,46.288,27
operon,nguyen/9,64,8,16.264,60.142,28
operon,nguyen/9,64,16,17.686,64.755,29
operon,nguyen/9,64,32,17.479,66.918,28
operon,nguyen/9,64,64,16.479,72.155,26
operon,nguyen/9,64,100,15.843,70.461,24
evogp,nguyen/9,64,0,1.715,6.955,7
evogp,nguyen/9,64,1,0.999,4.398,8
evogp,nguyen/9,64,2,0.787,4.185,8
evogp,nguyen/9,64,4,1.017,6.73,12
evogp,nguyen/9,64,8,1.49,13.527,10
evogp,nguyen/9,64,16,3.312,34.181,13
evogp,nguyen/9,64,32,5.198,39.628,14
evogp,nguyen/9,64,64,5.752,41.443,15
evogp,nguyen/9,64,100,7.287,53.787,14
operon,nguyen/10,64,0,12.423,45.431,28
operon,nguyen/10,64,1,9.922,35.756,28
operon,nguyen/10,64,2,9.047,32.028,28
operon,nguyen/10,64,4,10.086,35.133,28
operon,nguyen/10,64,8,15.344,53.608,29
operon,nguyen/10,64,16,16.137,63.261,28
operon,nguyen/10,64,32,14.598,60.63,26
operon,nguyen/10,64,64,13.934,68.022,26
operon,nguyen/10,64,100,13.489,66.413,23
evogp,nguyen/10,64,0,1.715,6.955,7
evogp,nguyen/10,64,1,1.095,4.841,9
evogp,nguyen/10,64,2,0.841,4.62,11
evogp,nguyen/10,64,4,0.824,5.341,6
evogp,nguyen/10,64,8,1.345,11.557,11
evogp,nguyen/10,64,16,3.243,34.72,12
evogp,nguyen/10,64,32,5.462,47.073,13
evogp,nguyen/10,64,64,5.155,51.383,12
evogp,nguyen/10,64,100,6.068,54.334,12
